year,authors
2025,"SeamanDJI, VoigtM, AncrenazM, BocediG, MeijaardE, OramF, PalmerSCF, SantikaT, ShermanJ, TravisJMJ, WichS, HumleT, SupriatnaJ, StruebigMJ"
2025,"SolmsL, vanVianenAEM, NevickaB, KoenJ, deHoogM, dePagterAPJ"
2025,"vanDijkR, vandeWeteringJ, ArgentiniR, GorkaL, vanLuenenAF, MinnemaS, RijgersbergE, UgenM, MannZÁ, GeradtsZ"
2025,"vanDongenN, vanBorkR, FinnemannA, HaslbeckJMB, vanderMaasHLJ, RobinaughDJ, deRonJ, SprengerJ, BorsboomD"
2025,"vandenHurkRS, LemminkIB, vanSchaikJR, HulsbergenAWC, PetersRAH, PirokBWJ, vanAstenAC"
2025,"vanderMolenM, JansenB, DoosjeB, BrakeHT, vanDoornC, vanderZeeM, vanEmmerikA"
2025,"TakahashiK, PontesQueroS, FiorilliJ, BenedettiD, YusteR, FristonKJ, TononiG, PennartzCMA, OlceseU, TWCF:INTREPIDConsortium"
2025,"ZouS, ChenC, DiZ, LiuY, LiH, LiY, KrishnaR, YuanD, WuM"
2025,"JiangY, ClavaguéraC, LecouveyMHLC, MartensJ, BerdenG, OomensJ, ScuderiD"
2025,"LucassenPJ, KorosiA, deRooijSR, SmitAB, VanDamAM, DaskalakisNP, VanKesterenRE, VerheijenMHG, LesuisSL, KesselsHW, KrugersHJ"
2025,"DolinšekS, ScholzC, GianiS, vanWeertJCM, vandenPutteB, MeppelinkCS"
2025,"vanderZeeLJC, HofmanJ, MathewS, deVisserA, BruckE, deBruinB, SlootwegJC"
2025,"vanHentenGB, BoelrijkJ, KattenbergC, BosTS, EnsingB, ForréP, PirokBWJ"
2025,"DijkmanJ, DijkstraM, vanRoijR, WellingM, vandeMeentJW, EnsingB"
2025,"MartindelPicoE, PsomopoulosF, PortellSilvaL, AlvesR, MorettiS, SufiS, BouhraouaK, SteinbergD, FarrellG, TsontakiM, AndradeBuonoR, BeierS, GarijoD, FernándezGonzálezJSTM, MihailA"
2025,"EspositoVJ, FerrariP, PalmerCZ, BoersmaC, CandianA, FortenberryRC, BumaWJ, TielensAGGM"
2025,"PopeF, XhaferriX, GiesenD, GeelsNJ, PichlerJ, RothenbergG"
2025,"AbbondanzieriEA, BadrinarayananAB, BarillàD, BellSD, BlombachF, BouetJY, BulgheresiS, CaoQAD, DameRT, DekkerC, DemuysereM, EspéliO, FoggPCM, FreddolinoPL, GanjiM, GersonTM, GraingerDC, HamoenLW, HarjuJ, ZhangZ"
2025,"AlessandroniN, AltschulD, BaumgartnerHA, BazhydaiM, BrosnanSFBHK, CallJ, ChittkaL, ElsherifM, EspinosaJ, FreemanMS, GjoneskaB, GüntürkünO, HuberL, KrasheninnikovaA, MazzaV, MillerR, MoreauD, NawrothC, PrétôtL"
2025,"BresserT, BlankenTF, deLangeSC, LeerssenJFDJCLKO, WassingR, RamautarJR, StoffersD, vandenHeuvelMP, VanSomerenEJW"
2025,"CarrièreTC, BoeschotenL, StruminskayaB, JanssenHL, deSchipperNC, AraujoT"
2025,"CosmeD, ChanHY, SinclairAH, BenitezC, LydicK, MartinRE, ResnickACTJ, CooperN, PaulAM, KoelleD, McVayJ, FalkEB, ScholzC"
2025,"DaveyCJE, HartelustAK, HelmusR, PraetoriusA, vanWezelAP, terLaakTL"
2025,"DeitzerJR, FrankenhuisWE, JacobsenWC, RibeaudD, EisnerM, FeinbergME, vanGelderJL"
2025,"FabrisA, BaranowskaN, DennisMJ, GrausD, HackerP, SaldivarJ, ZuiderveenBorgesiusF, BiegaAJ"
2025,"FluhrJ, DuriezO, BlaryC, ChambertT, AlmasiB, ByholmP, BuitendijkNH, ChampagnonJ, DagysM, FiedlerW, FrancesiazC, JiguetF, LeeS, MillonA, MontiF, MorceletL, NathanR, NoletBA, NuijtenR, BesnardA"
2025,"GaoK, vanderHeideW, MuijdermanD, NicholsS, KarwalC, KuperusP, GrootAT"
2025,"GroosSS, TanSM, LinnAJ, KuiperJI, vanSchoorNM, vanWeertJCM, vanderVeldeN"
2025,"GuarrielloA, FleckensteinT, SoraviaLM, TschuemperlinRM, BatscheletHM, JaegerJ, WiersRW, MoggiF, SteinM"
2025,"GuoBC, ZhangYR, LiuZG, LiXC, YuZ, PingBY, SunYQ, vandenBurgH, MaFW, ZhaoT"
2025,"HolzmeisterF, JohannessonM, CamererCF, ChenY, HoTH, HoogeveenS, HuberJ, ImaiN, ImaiT, JinL, KirchlerM, LyA, MandlB, ManfrediD, NaveG, NosekBA, PfeifferT, SarafoglouA, SchwaigerR, DreberA"
2025,"JunckerHG, JakobsenRR, NaninckEFG, DavidsM, HerremaH, vanGoudoeverJB, deRooijSR, KorosiA"
2025,"NijboerM, vanDoornikR, GroenmanAP, vanderOordS, HornstraR, vandenHoofdakkerB, DekkersTJ"
2025,"SeltenI, BlokJ, BoermaT, DjelantikAAAMJ, HoubenM, WijnenF, ZinkstokJ, VorstmanJAS, FiksinskiAM"
2025,"SilvaRH, vanderMeulenGJM, ZwarteveenMZ, SteadD, vanDorstMJ, BacchinTK"
2025,"TaksNW, BatstraMD, KortekaasRF, StevensFD, PfeilmeierS, vandenBurgHA"
