Node,degree,betweenness,closeness,eigenvector,pagerank
BerendsAJ,0.00020004000800160032,0.0,0.23738872403560832,4.525984846467946e-05,4.525984846467946e-05
LeeCW,0.0016003200640128026,7.022089129101545e-05,0.23562449852901846,0.0002029113797695426,0.0002029113797695426
HudlerM,0.000600120024004801,6.320331446313402e-06,0.22497446373850868,8.808403756345875e-05,8.808403756345875e-05
ToonenS,0.010402080416083218,0.0011978165323967152,0.31152758132956154,0.00034678519809206506,0.00034678519809206506
BonneL,0.001200240048009602,0.0,0.2575358501609599,6.329424307237087e-05,6.329424307237087e-05
BakkerJ,0.0028005601120224045,0.0013073562511700901,0.2663240628778718,0.000273239427558763,0.000273239427558763
BryantRA,0.0010002000400080016,5.07747035802438e-05,0.27626215114455943,0.00011350693449072416,0.00011350693449072416
PoutanenJ,0.0072014402880576115,9.340695780150481e-05,0.3005800068236097,0.0001683071497803313,0.0001683071497803313
IariaR,0.008201640328065612,4.739670709609128e-05,0.3027175782593739,0.00018375316941877335,0.00018375316941877335
VerhoefJ,0.00040008001600320064,0.0,0.2429004687069203,6.131503754944769e-05,6.131503754944769e-05
HabibiM,0.0036007201440288058,0.0008822773238002012,0.2804839223177332,0.0001953128952468615,0.0001953128952468615
TamuraM,0.007001400280056011,5.574565203753167e-05,0.2740579258797882,0.00021041084565876034,0.00021041084565876034
HofhuisK,0.0008001600320064013,0.0,0.24390919158361019,8.796174987152957e-05,8.796174987152957e-05
JongejanA,0.003200640128025605,0.0005068159896391816,0.2955384099295538,0.0002465064630424195,0.0002465064630424195
TeagueR,0.007001400280056011,0.0004064158194294679,0.30836541827091357,0.00020574007417871546,0.00020574007417871546
TimmermansJM,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
CecconD,0.00020004000800160032,0.0,0.0,0.00021664716842138937,0.00021664716842138937
SchallP,0.0054010802160432084,0.002149944644935925,0.2874388254486134,0.0005479006759988474,0.0005479006759988474
MileyGK,0.005201040208041609,8.904198175513182e-05,0.28237179487179487,0.0001503805575709818,0.0001503805575709818
MulderL,0.0030006001200240046,0.0003921774714625127,0.28594612138915937,0.0002325766280043539,0.0002325766280043539
DerksK,0.0028005601120224045,9.51268665146492e-06,0.252290950744559,0.00020159124790857286,0.00020159124790857286
WijnholdsSJ,0.004200840168033607,3.4518618812350267e-06,0.2681071211199026,0.00012835760812894583,0.00012835760812894583
vanVlietEA,0.009201840368073614,0.0022834804318760827,0.3029573590096286,0.0006769571462041228,0.0006769571462041228
BarrED,0.01260252050410082,0.00015899362432406623,0.2961344537815126,0.00029346121574833425,0.00029346121574833425
MénardF,0.01900380076015203,0.00021625141214878864,0.29904955872369315,0.00047356236394070723,0.00047356236394070723
KosterJ,0.0028005601120224045,0.0012938479387782837,0.2776552158840214,0.0002743730607302923,0.0002743730607302923
LorianiS,0.001200240048009602,8.74869434796866e-06,0.26464403724842295,0.00012540574028693858,0.00012540574028693858
BrinkerinkCD,0.0022004400880176033,2.8481048924081376e-06,0.2685975609756098,8.846796499214592e-05,8.846796499214592e-05
GaenslerBM,0.02020404080816163,0.0006257357355107986,0.3035529492928596,0.0004545083679622159,0.0004545083679622159
SavaglioS,0.014802960592118424,2.9593306597272723e-05,0.2866905304262935,0.00029540819364194063,0.00029540819364194063
deRoosAM,0.0016003200640128026,0.00040617320288170776,0.2424993118634737,0.0002208492962175858,0.0002208492962175858
Millan-GabetR,0.000600120024004801,0.0,0.2390773405698779,4.787006636411331e-05,4.787006636411331e-05
ZebelS,0.000600120024004801,0.0,0.215087890625,0.00010523285413112446,0.00010523285413112446
GaljartN,0.0018003600720144029,8.928552995312602e-05,0.25425685425685424,0.0001829671129745661,0.0001829671129745661
MüllerH,0.0016003200640128026,0.0004678347104750949,0.26778115501519756,0.00020474538512501255,0.00020474538512501255
DellerA,0.01280256051210242,0.00016278888211976282,0.29904955872369315,0.00028305408892971383,0.00028305408892971383
deVreeseC,0.004000800160032006,0.0012947500581994536,0.2558883396336144,0.0005331381067972861,0.0005331381067972861
vanZuidamJ,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
LeunissenJAM,0.00040008001600320064,0.0,0.23751686909581646,5.778814194445177e-05,5.778814194445177e-05
NoëlT,0.003200640128025605,0.0026593561905249616,0.2952412868632708,0.0003262986201179149,0.0003262986201179149
IgnaceR,0.006801360272054411,0.0002643619879333766,0.2935688103965345,0.00023043196194593896,0.00023043196194593896
Hofman-CarisCHM,0.00020004000800160032,0.0,0.2008206063369045,5.729489182981039e-05,5.729489182981039e-05
SpeltenER,0.00020004000800160032,0.0,0.2294868455326908,5.2584623799424004e-05,5.2584623799424004e-05
MeyleJ,0.0030006001200240046,0.0001518319747377488,0.24216602528862013,0.0002609938670462446,0.0002609938670462446
deWitJ,0.004400880176035207,0.0022491501229953826,0.2921087533156499,0.0003474012442899642,0.0003474012442899642
DeCesarME,0.008601720344068814,8.196096700705122e-05,0.302229845626072,0.0002083671501695302,0.0002083671501695302
PinedaP,0.00040008001600320064,0.0,0.24629577858540677,5.3772344469211144e-05,5.3772344469211144e-05
CaporaliniC,0.0016003200640128026,0.0,0.24451845684152096,0.000127315160851443,0.000127315160851443
deSoetJJ,0.00620124024804961,0.0019839809631989704,0.30715532286212915,0.00047477705573044707,0.00047477705573044707
