strategy,run_id,n_steps,final_fraction,t_50,t_90,auc,tau,seed_fraction
betweenness,0,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.1,0.0025
betweenness,3,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.1,0.0025
betweenness,2,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.1,0.0025
betweenness,5,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.1,0.0025
betweenness,4,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.1,0.0025
betweenness,6,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.1,0.0025
betweenness,8,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.1,0.0025
betweenness,7,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.1,0.0025
betweenness,9,49,0.25732906317887616,-1.0,-1.0,11.235448254238424,0.1,0.0025
random,3,24,0.038789724754204835,-1.0,-1.0,0.770844997872388,0.1,0.005
random,2,26,0.031690219703926006,-1.0,-1.0,0.7209618298955607,0.1,0.005
random,0,35,0.03952132464371832,-1.0,-1.0,1.1826610826185304,0.1,0.005
random,1,31,0.03987965928348003,-1.0,-1.0,1.0510552208610482,0.1,0.005
random,5,28,0.041283136622546714,-1.0,-1.0,0.937261576821721,0.1,0.005
random,7,30,0.04779288257821773,-1.0,-1.0,1.16475181593544,0.1,0.005
random,4,32,0.04552342985972692,-1.0,-1.0,1.1723365658103961,0.1,0.005
random,6,31,0.036744231185565086,-1.0,-1.0,0.9912581278508132,0.1,0.005
degree,1,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.1,0.005
degree,0,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.1,0.005
random,9,32,0.04153695699237792,-1.0,-1.0,1.1121288810254346,0.1,0.005
degree,2,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.1,0.005
degree,3,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.1,0.005
degree,4,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.1,0.005
degree,5,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.1,0.005
degree,6,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.1,0.005
random,8,49,0.0474494785484461,-1.0,-1.0,1.862160608571663,0.1,0.005
degree,7,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.1,0.005
betweenness,0,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.1,0.005
degree,8,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.1,0.005
degree,9,35,0.35897665599128054,-1.0,-1.0,11.399991041634006,0.1,0.005
betweenness,1,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.1,0.005
betweenness,2,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.1,0.005
betweenness,3,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.1,0.005
betweenness,5,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.1,0.005
betweenness,4,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.1,0.005
betweenness,6,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.1,0.005
betweenness,8,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.1,0.005
betweenness,7,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.1,0.005
betweenness,9,38,0.3518547550260166,-1.0,-1.0,12.116048166147825,0.1,0.005
random,0,29,0.0743768336655394,-1.0,-1.0,1.8195486476600005,0.1,0.01
random,2,28,0.07511589886004792,-1.0,-1.0,1.7842153591184968,0.1,0.01
random,1,32,0.08208102842041612,-1.0,-1.0,2.27276731390861,0.1,0.01
