node,degree,strategy,adoption_time,tau,seed_fraction
KarantzasGMMRE,17,random,1,0.05,0.0025
MoreiraJM,17,random,1,0.05,0.0025
NolteT,17,random,1,0.05,0.0025
RuchW,17,random,1,0.05,0.0025
McCollamA,16,random,1,0.05,0.0025
BirksHB,19,random,1,0.05,0.0025
GrytnesJ,19,random,1,0.05,0.0025
HooghíemstraH,19,random,1,0.05,0.0025
BhattaK,19,random,1,0.05,0.0025
ŠmilauerP,19,random,1,0.05,0.0025
GayóEM,19,random,1,0.05,0.0025
HerbertAV,19,random,1,0.05,0.0025
SteinbauerM,19,random,1,0.05,0.0025
…WilliamsJ,19,random,1,0.05,0.0025
MaciejowskaI,13,random,1,0.05,0.0025
GreceaŞ,13,random,1,0.05,0.0025
TaheriO,13,random,1,0.05,0.0025
SchalkwijkH,5,random,1,0.05,0.0025
ParryMS,8,random,1,0.05,0.0025
SchoonhovenL,10,random,1,0.05,0.0025
WallenburgI,7,random,1,0.05,0.0025
deVogelFA,10,random,1,0.05,0.0025
ZettlerER,11,random,1,0.05,0.0025
NiemannH,11,random,1,0.05,0.0025
EichA,7,random,1,0.05,0.0025
LottC,16,random,1,0.05,0.0025
Amaral-ZettlerLA,13,random,1,0.05,0.0025
VandermeulenN,17,random,1,0.05,0.0025
DeMaeyerS,14,random,1,0.05,0.0025
LesterhuisM,15,random,1,0.05,0.0025
FranckeM,35,random,1,0.05,0.0025
KorevaarM,3,random,1,0.05,0.0025
PrinsC,17,random,1,0.05,0.0025
vanLareCEJ,7,random,1,0.05,0.0025
AhrMP,7,random,1,0.05,0.0025
ZwijnenburgA,11,random,1,0.05,0.0025
BoelMJ,4,random,1,0.05,0.0025
SpiroS,7,random,1,0.05,0.0025
IgoshevAP,17,random,1,0.05,0.0025
SisodiaV,8,random,1,0.05,0.0025
SwinnenBEKS,8,random,1,0.05,0.0025
PeretsHB,17,random,1,0.05,0.0025
deCastroBO,20,random,1,0.05,0.0025
MauriE,16,random,1,0.05,0.0025
GuiLC,10,random,1,0.05,0.0025
ZhangXX,10,random,1,0.05,0.0025
AnandM,13,random,1,0.05,0.0025
FerreiraPicaI,7,random,1,0.05,0.0025
GentetLJ,19,random,1,0.05,0.0025
vanApeldoornJ,19,random,1,0.05,0.0025
LeterTLMEDK,5,random,1,0.05,0.0025
LambME,18,random,1,0.05,0.0025
