year,authors
2025,"SchellingerhoutR, BeraldoD, MarxM"
2025,"ShkurtajG, BerettaG, CipolliniC"
2025,"SolmsL, vandenHeuvelM, NevickaB, HomanAC"
2025,"SpeekenbrinkM, VisserI"
2025,"SunR, TeulingsI, SauterD"
2025,SzkalejK
2025,Taşan-KokT
2025,"ThijssenP, vanDijkR, vanErkelP"
2025,"TholenR, PonnetK, VanHalG, deBruynS, BuffelV, VandeVeldeS, BrackeP, BosP, AkvardarY, ArnoldP, BusseH, ChatzittofisA, HelmerSRKF, SkalickaV, StathopoulouT, TavolacciMP, vanderHeijdeC, WoutersE"
2025,VerhulpE
2025,"VivancoCarlevariA, OosterwijkS, vanKleefGA"
2025,VogiatzoglouP
2025,"WaagenJ, vanHilstA"
2025,"WeiC, LiM, MaoL, ManderL, JardinePE, GoslingWD, HoornC"
2025,"WilderomR, vanVenrooijA"
2025,"ZhangD, StrycharzJ, BoermanSC, AraujoT, VoorveldH"
2025,"vanBerloZMC, SungurH, GyarmatiF"
2025,vanBovenC
2025,"vanDeelenTRD, BelmonteS, VeldhuizenEM, vandenPutteB, KunstAE, KuipersMAG"
2025,"vanErkelPFA, VanAelstP"
2025,"vanKesselG, MilaneseS, DizonJ, deVriesDH, MacGregorH, AbramowitzS, EnriaL, BurtscherD, YeohEK, ThomasBE, KwangR, RangeldeAlmeidaJ, GobatN"
2025,vanKolfschootenH
2025,"vanSchijndelTJP, JansenBRJ"
2025,vanderWiltH
2025,"JanssenLHC, ValkenburgPM, KeijsersL, BeyensI"
2025,"KönigL, SchröderR, BrevesP, LinnemannGA, HamerT, SuhrR"
2025,"AbdelraheemE, TseliouV, DesportJ, SerizawaM, SchürmannM, BuijsenP, PetersR, GarganoAFG, MuttiFG"
2025,GaynorL
2025,"LaskarP, GrasmanRPPP, RaijmakersMEJ, HomburgAJ, JansenB, vanderMaasHLJ"
2025,HarmsenCM
