strategy,time_step,mean_fraction,std_fraction,tau,seed_fraction
random,21,0.9843586929744015,0.0002888042967437202,0.15,0.005
random,22,0.9843415227729129,0.00023802167398545137,0.15,0.005
random,23,0.9843751166453906,0.0002536556405311184,0.15,0.005
random,24,0.9839869207856486,0.0,0.15,0.005
betweenness,0,0.009996043388352631,0.0,0.15,0.01
betweenness,1,0.34510611931050444,0.0,0.15,0.01
betweenness,2,0.5410479795152031,0.0,0.15,0.01
betweenness,3,0.8090897553619552,0.0,0.15,0.01
betweenness,4,0.9247347950400513,0.0,0.15,0.01
betweenness,5,0.9662493561174441,0.0,0.15,0.01
betweenness,6,0.9772756115951117,0.0,0.15,0.01
betweenness,7,0.9816801415421829,0.0,0.15,0.01
betweenness,8,0.9825087903966316,0.0,0.15,0.01
betweenness,9,0.9833075780311005,0.0,0.15,0.01
betweenness,10,0.983412092301031,0.0,0.15,0.01
betweenness,11,0.9835613984009317,0.0,0.15,0.01
betweenness,12,0.983613655535897,0.0,0.15,0.01
betweenness,13,0.983613655535897,0.0,0.15,0.01
degree,0,0.009996043388352631,0.0,0.15,0.01
degree,1,0.34530021724037535,0.0,0.15,0.01
degree,2,0.5248781288959561,0.0,0.15,0.01
degree,3,0.7676349167245228,0.0,0.15,0.01
degree,4,0.8991511948220644,0.0,0.15,0.01
degree,5,0.954670668070144,0.0,0.15,0.01
degree,6,0.9738415712973953,0.0,0.15,0.01
degree,7,0.9803065254230962,0.0,0.15,0.01
degree,8,0.981933961912014,0.0,0.15,0.01
degree,9,0.9829417780863438,0.0,0.15,0.01
degree,10,0.9832851821161153,0.0,0.15,0.01
degree,11,0.9834643494359963,0.0,0.15,0.01
degree,12,0.9835166065709615,0.0,0.15,0.01
degree,13,0.9835166065709615,0.0,0.15,0.01
random,0,0.009996043388352631,0.0,0.15,0.01
random,1,0.02638612050495323,0.000971186480015228,0.15,0.01
random,2,0.03449717438205938,0.0015498895317592745,0.15,0.01
random,3,0.050753622539248845,0.003067999572794002,0.15,0.01
random,4,0.06839787089501541,0.004080592510794875,0.15,0.01
random,5,0.09757078975461543,0.006925184007739887,0.15,0.01
random,6,0.14190275693713467,0.011573222441774823,0.15,0.01
random,7,0.21734115697296813,0.021374510954522453,0.15,0.01
random,8,0.3456899061611162,0.035192732552353,0.15,0.01
random,9,0.539446671593768,0.04678897019594789,0.15,0.01
random,10,0.7403133935036916,0.039833608417325014,0.15,0.01
random,11,0.8651422513866803,0.025459435482632253,0.15,0.01
random,12,0.9315894380864931,0.0188480262462003,0.15,0.01
random,13,0.9706658305525073,0.008581775118234951,0.15,0.01
random,14,0.9820489276089376,0.0013529042330557392,0.15,0.01
random,15,0.9842534321739714,0.00065333670137591,0.15,0.01
