strategy,time_step,mean_fraction,std_fraction,tau,seed_fraction
degree,1,0.20608720969295197,0.0,0.05,0.02
degree,2,0.3141027076661217,0.0,0.05,0.02
degree,3,0.3866505416078774,0.0,0.05,0.02
degree,4,0.43480922413085193,0.0,0.05,0.02
degree,5,0.4678282681238942,0.0,0.05,0.02
degree,6,0.48938806894955694,0.0,0.05,0.02
degree,7,0.5044829156495189,0.0,0.05,0.02
degree,8,0.5142400692780303,0.0,0.05,0.02
degree,9,0.520876725418617,0.0,0.05,0.02
degree,10,0.5257291736653901,0.0,0.05,0.02
degree,11,0.5287824834083596,0.0,0.05,0.02
degree,12,0.5309399565519249,0.0,0.05,0.02
degree,13,0.5322911767560263,0.0,0.05,0.02
degree,14,0.5331870133554306,0.0,0.05,0.02
degree,15,0.5336647928751129,0.0,0.05,0.02
degree,16,0.5339932662948945,0.0,0.05,0.02
degree,17,0.5342321560547356,0.0,0.05,0.02
degree,18,0.5343292050196711,0.0,0.05,0.02
degree,19,0.5343963927646264,0.0,0.05,0.02
degree,20,0.5344337192896016,0.0,0.05,0.02
degree,21,0.5344337192896016,0.0,0.05,0.02
random,0,0.019999552081700296,0.0,0.05,0.02
random,1,0.03942054302628534,0.0007560768941632403,0.05,0.02
random,2,0.056396646584996234,0.0015770524289010718,0.05,0.02
random,3,0.07122124924413786,0.0023210177626699223,0.05,0.02
random,4,0.08388016692421969,0.0025966625450091485,0.05,0.02
random,5,0.09488999873089815,0.0032514196789722454,0.05,0.02
random,6,0.10420147365120602,0.0038813243934759513,0.05,0.02
random,7,0.11234686793128934,0.004291761646110913,0.05,0.02
random,8,0.11900144080386403,0.00455451888761023,0.05,0.02
random,9,0.12452576650019036,0.004560034151183254,0.05,0.02
random,10,0.1290825886691601,0.004468845445171734,0.05,0.02
random,11,0.1331377423424634,0.004441232298024025,0.05,0.02
random,12,0.13654938672519465,0.004433702395186096,0.05,0.02
random,13,0.1394989287287332,0.00443984233476107,0.05,0.02
random,14,0.1422670638208924,0.004549545827029178,0.05,0.02
random,15,0.14485155241017372,0.004515232287527599,0.05,0.02
random,16,0.1469724455592633,0.004636116955449032,0.05,0.02
random,17,0.14880368487454557,0.004780363362116195,0.05,0.02
random,18,0.15056997603637096,0.005063942660586768,0.05,0.02
random,19,0.15204661336438902,0.005340241165938765,0.05,0.02
random,20,0.15332019439654207,0.005584400819779683,0.05,0.02
random,21,0.15450717789075272,0.005868267965309717,0.05,0.02
random,22,0.15560607078602195,0.0063273845829791365,0.05,0.02
random,23,0.15652504983091084,0.006561980914556908,0.05,0.02
random,24,0.15739027867983546,0.0066998296434936854,0.05,0.02
random,25,0.15821967406478393,0.006868654895006409,0.05,0.02
random,26,0.15891394742932224,0.0070338642619593,0.05,0.02
random,27,0.15948205713944444,0.007159758501017925,0.05,0.02
random,28,0.16001209379409195,0.007294649686323112,0.05,0.02
random,29,0.1604398557703075,0.0073530371602129364,0.05,0.02
random,30,0.16078400633057863,0.007408560594586551,0.05,0.02
random,31,0.161070674042388,0.007443502212462316,0.05,0.02
random,32,0.1613215082902212,0.007494643435414472,0.05,0.02
random,33,0.1615111270370951,0.007550095052629856,0.05,0.02
random,34,0.16167163109448837,0.0075700950982974,0.05,0.02
random,35,0.16186348943286077,0.007626253478272867,0.05,0.02
random,36,0.16200458369726695,0.007685845612113588,0.05,0.02
random,37,0.16320815675813324,0.007316642347351357,0.05,0.02
random,38,0.16329193406974418,0.007340949040731889,0.05,0.02
random,39,0.16562632309200134,0.006811401754200922,0.05,0.02
random,40,0.16828439825909086,0.006319581087471843,0.05,0.02
random,41,0.16840384313901144,0.006228461484665418,0.05,0.02
random,42,0.1691171530312871,0.006835448868217426,0.05,0.02
random,43,0.1692533948474465,0.008120635792097129,0.05,0.02
random,44,0.16941016625234226,0.007906914005336312,0.05,0.02
random,45,0.1695395648722562,0.007728813111738572,0.05,0.02
random,46,0.16959431044221976,0.007653424467102263,0.05,0.02
random,47,0.16587161168469539,0.005553263710467467,0.05,0.02
random,48,0.16591640351466558,0.005511033568182521,0.05,0.02
random,49,0.16597612595462588,0.005437130819183917,0.05,0.02
random,50,0.16601345247960106,0.005384343141327761,0.05,0.02
random,51,0.1622882652870783,0.0,0.05,0.02
random,52,0.1623703836420237,0.0,0.05,0.02
random,53,0.16244503669197405,0.0,0.05,0.02
random,54,0.1625420856569095,0.0,0.05,0.02
random,55,0.16258687748687972,0.0,0.05,0.02
random,56,0.16263166931684994,0.0,0.05,0.02
random,57,0.16267646114682016,0.0,0.05,0.02
random,58,0.16269139175681022,0.0,0.05,0.02
random,59,0.16269885706180526,0.0,0.05,0.02
random,60,0.1627063223668003,0.0,0.05,0.02
random,61,0.16271378767179534,0.0,0.05,0.02
random,62,0.16271378767179534,0.0,0.05,0.02
betweenness,0,0.04999514755175323,0.0,0.05,0.05
betweenness,1,0.3480399841735534,0.0,0.05,0.05
betweenness,2,0.4922995378976208,0.0,0.05,0.05
betweenness,3,0.5749031376676894,0.0,0.05,0.05
betweenness,4,0.6228527916508029,0.0,0.05,0.05
betweenness,5,0.6518778974715012,0.0,0.05,0.05
betweenness,6,0.6690779601800632,0.0,0.05,0.05
betweenness,7,0.6795667136980882,0.0,0.05,0.05
betweenness,8,0.6856658678790322,0.0,0.05,0.05
betweenness,9,0.6892118877516741,0.0,0.05,0.05
betweenness,10,0.6911080752204132,0.0,0.05,0.05
betweenness,11,0.6922651974946437,0.0,0.05,0.05
